;address;area;community;face;floor;link_url;price;rooms;square;title;uptime
19;金汇南路301弄;闵行 金汇;锦绣江南（四期）;南北;高层/12层;3346759;18500;3室2厅;118;锦绣江南，刚刚降价，看房有钥匙，上门实勘;20160812
20;芳甸路77弄;浦东 联洋;当代清水园;北;低层/30层;3346230;16500;4室2厅;150;上下楼方便，毗邻地铁，来电即看，降价出租;20160812
21;报春路388弄,报春路488弄;闵行 古美;新梅花苑;南北;高层/6层;3346223;4500;2室1厅;58;新梅花苑，如您所见，两室户，看房有钥匙;20160812
22;康丰路201弄;嘉定 嘉定新城;佳兆业壹号;暂无数据;低层/17层;3343301;4600;3室2厅;88;舒适三室，马上看房，吉宅出租，刚刚降价;20160811
23;柳营路1025弄, 谈家桥路172弄;闸北 大宁;柳营路1025弄;南;高层/6层;3342894;3800;1室1厅;38;钥匙在手，上门实勘，一室小户型，业主降价;20160811
24;羽山路600弄;浦东 洋泾;第五大道;南;低层/13层;3342646;14500;3室2厅;144;上下楼方便，交通方便，舒适三室，高清实拍;20160811
25;宜山路2328弄;闵行 静安新城;九歌上郡;南北;高层/12层;3341341;10000;2室2厅;97;九歌上郡，地铁房，上门实拍，南北直通;20160810
26;雅丹路789弄;嘉定 安亭;新里米兰公寓;南;低层/18层;3339587;1800;3室1厅;88;新里米兰公寓，地铁直达，上门实拍，低楼层;20160809
27;沪南路2441弄82支弄,沪南路2441;浦东 御桥;京浦小区;南;高层/6层;3338141;4000;2室1厅;52;京浦小区，随到随看，适合自住，采光这边独好;20160808
28;陆翔路678弄;宝山 顾村;菊泉新城（陆翔路678弄）;南北;高层/5层;3337988;3800;2室2厅;79;有钥匙立即看，紧邻地铁，降价出租，观望后悔莫及;20160808
29;下南路971弄1-23号,北艾路901弄;浦东 北蔡;金顺小区;南北;高层/6层;3337612;6000;3室1厅;88;金顺小区，一链倾城，地铁房，3室1厅1卫;20160808
30;巨峰路955弄;浦东 高行;华高一村;;中层/6层;3335469;5800;2室2厅;92;华高一村，有钥匙房源，空气清新，上门实拍;20160807
31;桂林西街111弄;徐汇 康健;寿祥坊;暂无数据;高层/6层;3335165;3800;1室1厅;34;寿祥坊，地铁房，错过不再有，高清实拍;20160807
32;西藏北路1303弄;闸北 闸北公园;仁和恬园;南北;中层/32层;3334500;9000;2室2厅;106;出行方便，稀缺南北通，刚刚降价，有钥匙立即看;20160807
33;杨高北路3885弄;浦东 高行;华高苑;南北;中层/5层;3333675;6200;2室2厅;106;光线充足，放心好房，两室户，降价出租;20160806
34;永泰路1299弄;浦东 三林;盛源公寓;南北;中层/6层;3333335;7100;3室2厅;112;盛源公寓，业主降价出租，毗邻地铁，好房好心情;20160806
35;小木桥路440弄,小木桥路360弄,斜土;徐汇 斜土路;西木小区;南;低层/6层;3333048;4200;1室1厅;30;刚刚降价，紧邻地铁，有钥匙房源，低楼层;20160806
36;羽山路308弄，桃林路815弄;浦东 源深;陆家嘴花园;南北;低层/20层;3331918;15000;3室2厅;129;陆家嘴花园，低楼层，随到随看，地铁房;20160806
37;浦东南路1533号;浦东 潍坊;潍坊二村;暂无数据;高层/6层;3330440;4600;1室0厅;32;潍坊二村，来电即看，上门实拍，交通便利;20160805
38;龙华西路470弄,龙华西路480弄,中山;徐汇 龙华;申航小区;南;高层/5层;3329608;4000;1室0厅;33;申航小区，小户型，降价出租，高区景观好;20160805
39;新泾一村,新泾一村160-173号201;长宁 北新泾;新泾一村;南;高层/6层;3329158;4000;1室0厅;38;一室小户型，业主刚降价，链家房源，生活很便利;20160804
40;金沙江路2098弄;普陀 长征;万景园;南北;高层/6层;3328199;8500;3室2厅;131;上门实勘，南北户型，空气清新，业主刚降价;20160804
41;虹桥路168号;徐汇 徐家汇;东方曼哈顿;南;高层/27层;3326393;30000;3室2厅;210;降价出租，马上看房，上门实勘，采光好;20160803
42;凌兆路586弄;浦东 三林;凌兆新村（凌兆路586弄）;;低层/6层;3325370;6000;3室1厅;82;随到随看，地铁直达，低楼层，刚刚降价;20160803
43;横港路155弄,古楼公路348弄;松江 泗泾;金港花园（公寓）;;高层/5层;3320158;4000;2室2厅;90;金港花园，高清实拍，视野很好，业主降价;20160731
44;新村路248弄;普陀 甘泉宜川;新长小区;南北;高层/6层;3320089;3300;1室1厅;40;南北直通，高清实拍，高区景观好，小户型;20160731
45;浦城路366弄;浦东 陆家嘴;菊园;暂无数据;高层/20层;3312345;15000;3室2厅;131;上门实拍，有钥匙房源，3房出租，近地铁;20160728
46;田林十二村;徐汇 田林;田林十二村;南北;中层/6层;3303947;5500;2室1厅;50;上门实拍，南北直通，有钥匙，两室户;20160724
47;福山路111弄,松林路88弄,商城路11;浦东 源深;梅园五街坊;南北;高层/6层;3301506;6200;2室1厅;52;梅园五街坊，享受好房，视野很好，稀罕南北通;20160723
48;青云路605弄;闸北 西藏北路;青云路605弄;东南;高层/6层;3299009;3600;1室0厅;35;1室0厅1卫，看房有钥匙，业主降价，光线非常好;20160722
49;包头路430号;杨浦 中原;市光二村;;高层/6层;3297448;3300;1室1厅;37;市光二村，刚刚降价，上门实拍，1室1厅;20160721
50;丹巴路1500弄,梅川路916弄;普陀 长征;梅六小区;暂无数据;高层/6层;3295625;3200;1室1厅;42;真实在租，小户型，光线非常好，交通便利;20160720
51;清河湾路425弄;青浦 盈浦;旭辉百合宫馆;暂无数据;低层/14层;3295143;3000;2室2厅;90;降价房源，随时可看，上下楼方便，地铁沿线;20160720
52;云山路835弄,云山路839弄;浦东 金杨;上海未来;南北;高层/7层;3289713;10000;3室2厅;129;上海未来，高区阳光房，紧邻地铁，3室2厅;20160717
53;永泰路775弄;浦东 三林;翠竹苑;南;中层/6层;3288827;5200;2室1厅;61;享受好房，业主降价出租，上门实拍，来电即看;20160717
54;长阳路1658弄;杨浦 周家嘴路;海尚佳园;;高层/17层;3287290;8000;2室1厅;93;有钥匙立即看，采光无敌好，2室1厅，地铁房;20160716
55;汇川路88弄;长宁 中山公园;凯欣豪园;东;低层/36层;3284936;9000;1室0厅;52;看房方便，温馨一室，近地铁，如您所见;20160715
56;环林西路579弄;浦东 三林;品珍苑;西南;高层/18层;3232085;5300;2室1厅;87;上门实勘，好房好心情，简约二室，业主降价出租;20160711
57;莘浜路35弄14-61号;闵行 莘庄;长寿新村（闵行）;暂无数据;低层/6层;3209771;4000;2室1厅;61;业主刚降价，观望后悔莫及，看房有钥匙，适合自住;20160709
58;报春路388弄,报春路488弄;闵行 古美;新梅花苑;南北;中层/6层;3175224;5800;3室0厅;58;新梅花苑，3室0厅1卫，黄金楼层，降价房源;20160708
59;菊联路89弄;宝山 顾村;文宝苑;南;中层/11层;2993546;2800;2室1厅;77;文宝苑，精致户型，业主降价出租，交通便利;20160706
60;耀华路331弄,耀华路421弄,耀华路5;浦东 世博;新世纪花苑（浦东）;南;高层/7层;2941403;3800;1室1厅;50;新世纪花苑，地铁沿线，随到随看，高区景观房;20160702
61;茅台路691弄,茅台路715弄,茅台路7;长宁 仙霞;威宁小区;南;高层/6层;2891166;4800;1室1厅;55;威宁小区，业主刚降价，钥匙房，一室小户型;20160630
62;永泰路1299弄;浦东 三林;盛源公寓;南北;中层/6层;2878145;7200;3室2厅;115;链家房源，3房出租，有钥匙房源，降价房源;20160629
63;汇站街126弄;徐汇 徐家汇;颐峰苑;南北;高层/13层;2877007;14000;3室2厅;137;3室2厅，如您所见，降价房源，南北直通;20160703
64;金钟路340弄;长宁 北新泾;新泾六村;南北;中层/6层;2829467;5800;2室1厅;55;链家好房，南北通透，出行方便，高清实拍;20160626
65;同普路1441弄;普陀 长征;金江家园;南北;高层/7层;2818156;6000;3室2厅;89;金江家园，业主刚降价，出行方便，高区阳光房;20160625
66;灵山路1390弄,灵山路1396弄,灵山;浦东 洋泾;崮山小区;南北;低层/6层;2786587;7200;3室1厅;85;崮山小区，地铁沿线，房型正气，有钥匙;20160623
67;桂林路399号,钦州北路885弄,钦州北;徐汇 漕河泾;桂林苑;南北;高层/7层;2763114;6500;2室2厅;87;错过不再有，南北通透，2室2厅1卫，毗邻地铁;20160622
68;康桥路1259弄,康桥路1558弄,康桥;浦东 御桥;绿洲康城亲水湾;;中层/17层;2191766;6500;3室2厅;137;绿洲康城亲水湾，有钥匙房源，上门实拍，业主降价出租;20160610
69;汾阳路77号;徐汇 建国西路;新汾阳公寓;南北;中层/12层;1308149;25000;3室2厅;166;稀缺南北通，观望后悔莫及，舒适三室，降价出租;20160513
70;安顺路231弄;长宁 新华路;安顺路231弄;南;低层/6层;3387929;3800;1室1厅;42;一室小户型，放心好房，有钥匙房源，热门房源;20160831
71;临平路333号;虹口 临平路;瑞虹新城（一期）;西;中层/39层;3388260;8200;2室1厅;72;高清实拍，热门带看，抢鲜笋盘，如您所见;20160831
72;临平路250弄;虹口 临平路;临平路250弄;南;高层/7层;3385405;3900;1室1厅;42;错过不再有，随时可看，高区采光好，刚刚降价;20160830
73;武宁南路310号,武宁南路312号,武宁;静安 曹家渡;新宏安家园;南;中层/24层;3396255;10500;2室1厅;111;享受好房，钥匙在手，业主新委托，地铁房;20160903
74;白杨路360弄;浦东 花木;环龙新纪园;南;高层/18层;3349195;13500;4室2厅;164;链家好房，来电即看，在租四房，生活很便利;20160902
75;东新路88弄（一、二期）,东新路99弄（;普陀 武宁;新湖明珠城;南;高层/32层;3391696;11000;2室2厅;106;精致户型，交通方便，新鲜挂牌，高清实拍;20160901
76;田林十一村;徐汇 田林;田林十一村;南;低层/6层;3387587;3800;1室0厅;30;田林十一村，错过不再有，温馨之家，上下楼方便;20160831
77;城南路293弄;浦东 川沙;城南路293弄;南;高层/5层;3385457;3000;2室1厅;48;城南路293弄，适合自住，地铁直达，好房好心情;20160830
78;斜土路2167弄,斜土路2171号,斜土;徐汇 徐家汇;谨斜小区;南;低层/5层;3380914;8000;1室1厅;38;业主降价，低楼层，高清实拍，新鲜挂牌;20160828
79;长临路1118弄;宝山 共康;屹立家园;南北;低层/6层;3380166;8500;3室2厅;134;业主刚降价，毗邻地铁，业主新委托，舒适三室;20160828
80;共富路351弄（富成园）,联泰路518弄;宝山 共富;共富四村;南;高层/6层;3366202;3800;2室1厅;69;共富四村，刚刚降价，来电即看，上门实勘;20160821
81;姚虹东路298弄（一期）,姚虹路259弄;闵行 金虹桥;古北虹苑;暂无数据;高层/6层;3215958;4500;1室1厅;52;吉宅出租，出行方便，高清实拍，新鲜上架;20160901
82;桃林路1141弄;浦东 源深;新天家园;暂无数据;高层/18层;3391129;10000;2室2厅;104;有钥匙立即看，2室2厅1卫，上门实勘，空气清新;20160901
83;宛平南路1518弄, 云锦路183弄;徐汇 徐汇滨江;百汇园;南;中层/36层;2760667;14000;2室2厅;110;上门实拍，地铁直达，有钥匙，热门好房;20160622
84;春泉路45弄;浦东 唐镇;毕加索小镇（一期）（公寓）;南;高层/8层;3310371;4200;2室2厅;59;简约二室，采光这边独好，热租房源，地铁沿线;20160727
85;控江路1200弄;杨浦 控江路;控江路1200弄;南;低层/5层;3219799;3500;2室1厅;32;地铁直达，错过不再有，上门实勘，低楼层;20160710
86;羽山路308弄，桃林路815弄;浦东 源深;陆家嘴花园;南;高层/9层;3287685;9900;2室1厅;104;适合自住，看房方便，视野开阔，看房末班车;20160717
87;永兴路928弄;闸北 不夜城;中海万锦城（四期）;西;低层/21层;3335726;7800;3室1厅;44;低区出入方便，高清实拍，交通便利，钥匙房;20160807
88;虹桥路1017弄1-7号;长宁 虹桥;虹东小区;南;低层/27层;2769612;5500;1室1厅;54;热推好房，上门实勘，小户型，上下楼方便;20160622
89;虹梅路3318弄;闵行 金虹桥;虹田苑;南;高层/11层;1045337;12000;3室2厅;112;虹田苑，有爱有家，有钥匙立即看，紧邻地铁;20160629
90;梅岭北路400弄;普陀 曹杨;梅岭苑;南;中层/6层;3298394;4700;2室1厅;50;梅岭苑，来电即看，上门实拍，好楼层;20160721
91;陆家浜路521弄;黄浦 董家渡;阳光翠竹苑;南;高层/34层;1541583;8200;2室2厅;84;阳光翠竹苑，热租房源，采光无敌好，好房好心情;20160520
92;凯滨路18弄，凯滨路19弄，东安路888;徐汇 徐汇滨江;尚海湾豪庭;南北;高层/36层;1007940;23000;3室2厅;174;高清实拍，热租房源，南北直通，有钥匙立即看;20160501
93;宝城路158弄;闵行 莘庄;莘城公寓;东南;高层/18层;2869055;5200;2室2厅;93;莘城公寓，错过不再有，随时可看，上门实勘;20160904
94;长岛路85弄,博兴路250弄,长岛路25;浦东 金桥;沪南船舶小区;南北;低层/6层;3387668;3100;1室1厅;42;地铁房，低区出入方便，稀缺南北通，热门带看;20160831
95;梅花路768弄;浦东 花木;六街坊小区;南北;高层/6层;3385805;2800;3室1厅;152;六街坊小区，马上看房，3室1厅，上门实拍;20160830
96;华丰路51弄,临沂路280弄,南码头路4;浦东 南码头;临沂三村;暂无数据;高层/6层;3384852;3800;1室1厅;36;生活很便利，业主新委托，光线非常好，随时可看;20160830
97;国权北路10弄;杨浦 五角场;国权北路10弄;南北;高层/5层;3383818;4200;2室0厅;55;国权北路10弄，地铁沿线，错过不再有，简约二室;20160829
98;荣华东道119弄;长宁 古北;巴黎花园;南;中层/13层;3387444;18000;3室2厅;189;3房出租，随时看房，业主新委托，近地铁;20160831
99;浦明路99弄（一、二期）,浦城路99弄（;浦东 陆家嘴;仁恒滨江园;西南;中层/26层;3330227;23600;3室2厅;122;3室2厅2卫，链家房源，业主降价出租，景观房;20160805
100;通河路100弄;宝山 张庙;通河一村;南北;高层/7层;3388516;3000;1室1厅;43;通河一村，真实在租，交通便利，高清实拍;20160831
101;云山路835弄,云山路839弄;浦东 金杨;上海未来;南;中层/9层;3388083;8500;2室2厅;100;高清实拍，地铁直达，有爱有家，有钥匙房源;20160831
102;合宝路18号;徐汇 斜土路;金巢铂瑞阁;西;低层/14层;1202121;10500;1室1厅;60;金巢铂瑞阁，上门实勘，降价房源，人气房源;20160511
103;黄兴路1号;杨浦 周家嘴路;中通大厦;西南;中层/29层;3392821;4000;1室0厅;57;热门房源，有爱有家，钥匙在手，业主新委托;20160902
104;南丹路368弄;徐汇 徐家汇;汇贤雅居;南;低层/27层;3386495;7500;1室1厅;55;有钥匙立即看，毗邻地铁，观望后悔莫及，热门带看;20160830
105;崂山东路645弄,潍坊路154弄,潍坊路;浦东 潍坊;潍坊十村;南;高层/6层;3341264;5800;2室1厅;47;潍坊十村，错过不再有，高清实拍，交通方便;20160810
106;浦明路688弄, 张杨路98号;浦东 陆家嘴;滨江凯旋门;西南;高层/27层;3361629;31000;2室2厅;129;滨江凯旋门，热门房源，精致户型，空气清新;20160825
107;中潭路33弄,远景路97弄,中潭路99弄;普陀 中远两湾城;中远两湾城;南;高层/34层;3390516;6500;1室2厅;55;中远两湾城，地铁沿线，人气房源，错过不再有;20160901
108;菊泉街1398弄;宝山 顾村;馨佳园（菊泉街1398弄）;南北;高层/24层;3389473;3000;2室2厅;78;馨佳园，简约二室，高清实拍，看房方便;20160901
109;洛川中路777弄;闸北 大宁;悠和家园;;高层/29层;3387697;7800;2室2厅;95;有钥匙房源，2室2厅，上门实勘，毗邻地铁;20160831
110;黄桦路369弄,黄桦路189号;闵行 龙柏;嘉富丽苑;北;中层/11层;3385837;6000;1室1厅;63;交通方便，空气清新，来电即看，热门带看;20160830
111;翔殷路491弄;杨浦 黄兴公园;翔殷路491弄;南;中层/6层;3385160;3800;2室0厅;39;光线充足，毗邻地铁，如您所见，两室户;20160830
112;甘泉一村;普陀 甘泉宜川;甘泉一村;北;中层/5层;3367688;3300;1室0厅;25;甘泉一村，业主降价，出行方便，1室0厅;20160822
113;龙山新村;徐汇 万体馆;龙山新村;南;高层/6层;3359696;4800;1室1厅;32;远离雾霾带，地铁房，1室1厅，热门带看;20160818
114;共富路351弄（富成园）,联泰路518弄;宝山 共富;共富四村;南;低层/6层;3352096;4100;2室1厅;69;吉宅出租，上门实勘，低区出入方便，2室1厅;20160815
115;北京西路1065号;静安 南京西路;京西大楼;北;低层/16层;3345192;6300;1室1厅;38;业主降价出租，如您所见，低区出入方便，上门实勘;20160812
116;方斜路525弄;黄浦 老西门;明华大厦;南北;高层/25层;3323915;15000;3室2厅;164;明华大厦，远离雾霾带，热门带看，3室2厅;20160724
117;长临路380弄;闸北 彭浦;共康四村;南;低层/6层;3318002;4200;2室1厅;72;看房有钥匙，低区出入方便，观望后悔莫及，高清实拍;20160730
118;中山北路2185弄;普陀 光新;中山北路2185弄;南;高层/6层;3315855;6300;2室1厅;50;热门带看，上门实勘，随时看房，业主降价出租;20160729
119;仁德路100弄;杨浦 五角场;文化花园清华苑;;中层/6层;3305569;6800;2室2厅;91;文化花园清华苑，上门实勘，降价出租，光线充足;20160725
120;怀德路366弄（二期）,怀德路383弄（;杨浦 东外滩;保利香槟苑;南;高层/25层;3303491;9000;2室1厅;91;刚刚降价，吉宅出租，实地看房，采光无遮挡;20160807
121;瑞金二路411号;黄浦 打浦桥;日月光中心伯爵居;南北;低层/30层;3278681;18000;2室2厅;113;日月光中心伯爵居，错过不再有，随时可看，新鲜上架;20160901
122;淡水路442弄;黄浦 新天地;淡水路442弄;南北;高层/6层;2961965;7000;2室1厅;43;降价房源，上门实勘，交通方便，实地看房;20160703
123;兰谷路1888弄,兰谷路2188弄,兰谷;浦东 金桥;仁恒森兰雅苑;南北;中层/9层;1715144;19000;4室2厅;223;地铁直达，如您所见，钥匙房，降价房源;20160612
124;羽山路308弄，桃林路815弄;浦东 源深;陆家嘴花园;南;低层/13层;1035735;12500;2室1厅;114;地铁房，业主降价，人气房源，2室1厅2卫;20160825
125;芙蓉江路388弄;长宁 天山;仁恒河滨花园;南北;中层/32层;3393429;35000;4室2厅;228;空气清新，上门实勘，4室2厅3卫，新出房源;20160902
126;南丹路368弄;徐汇 徐家汇;汇贤雅居;南;中层/27层;3392766;7500;1室1厅;55;汇贤雅居，一链倾城，高清实拍，有钥匙房源;20160902
127;虹桥路168号;徐汇 徐家汇;东方曼哈顿;东南;低层/37层;3400262;12500;2室2厅;85;上下楼方便，业主降价出租，有爱有家，抢鲜笋盘;20160905
128;合宝路18号;徐汇 斜土路;金巢铂瑞阁;西;低层/14层;3388445;9500;1室2厅;60;金巢铂瑞阁，有钥匙立即看，上门实拍，刚刚降价;20160831
129;聚丰园路188弄;宝山 上大;学林苑;南;中层/11层;3394097;5300;2室2厅;112;新鲜上架，黄金楼层，真实在租，出行方便;20160902
130;清峪路81弄,清峪路130弄;普陀 长征;新长征花苑;南;中层/6层;3396272;6000;2室1厅;65;新长征花苑，降价出租，新出房源，黄金楼层;20160903
131;虹井路788弄4-24号;闵行 金汇;虹井小区;南;高层/6层;3389343;3000;1室1厅;45;虹井小区，有钥匙立即看，1室1厅1卫，上门实拍;20160901
132;广富林路1188弄;松江 松江大学城;保利西子湾;暂无数据;低层/14层;3397441;3300;1室1厅;59;保利西子湾，紧邻地铁，业主降价，随到随看;20160904
133;南昌路555号;徐汇 衡山路;东方巴黎;南;中层/37层;3395011;20000;3室2厅;127;毗邻地铁，空气清新，业主降价出租，上门实拍;20160903
134;天钥桥路180弄8号;徐汇 徐家汇;南馨公寓;南;中层/26层;3397139;13000;2室2厅;110;南馨公寓，好房好心情，精致户型，刚刚降价;20160904
135;虹古路380弄,虹古路410弄,仙霞路6;长宁 仙霞;虹霞小区;;高层/6层;3395427;2800;1室0厅;33;1室0厅1卫，地铁沿线，上门实勘，业主新委托;20160903
136;长逸路327弄,淞南路200弄,淞南五村;宝山 淞南;淞南五村;南;中层/6层;3392439;4200;2室1厅;62;2室1厅1卫，业主刚降价，出行方便，光线充足;20160902
137;浦东南路1349号（新发）,浦东南路13;浦东 潍坊;开发浦东;;高层/25层;3392216;6000;2室1厅;62;开发浦东，上门实勘，简约二室，新出好房;20160902
138;长临路1318弄;宝山 共康;九英里;南北;高层/12层;3391926;6700;3室2厅;125;业主刚降价，看房方便，新出好房，上门实勘;20160902
139;虹桥路2388号;长宁 西郊;皇朝别墅;南北;低层/4层;3391444;12000;2室2厅;102;上门实拍，新上房源，看房有钥匙，房型正气;20160901
140;枣庄路658弄,金口路53弄,金口路15;浦东 金杨;金杨新村三街坊;暂无数据;高层/7层;3389191;4400;2室1厅;59;金杨新村三街坊，随时看房，新鲜上架，采光无遮挡;20160901
141;玉屏南路537弄,玉屏南路561弄,玉屏;长宁 中山公园;新光小区;暂无数据;高层/7层;3389015;4500;2室0厅;50;新光小区，降价出租，上门实拍，采光这边独好;20160831
142;报春路388弄,报春路488弄;闵行 古美;新梅花苑;南北;低层/6层;3388832;4700;2室1厅;58;两室户，紧邻地铁，业主降价出租，马上看房;20160831
143;梅园新村;浦东 源深;梅园新村（浦东）;;高层/6层;3388203;5200;2室0厅;46;梅园新村，错过不再有，紧邻地铁，看房方便;20160831
144;菊泉街39弄;宝山 顾村;菊泉新城（菊泉街39弄）;东;中层/14层;3386778;2600;2室2厅;81;菊泉新城，业主降价，交通便利，如您所见;20160831
145;盈港东路3188弄;青浦 徐泾;河畔家苑;南北;中层/6层;3386564;5200;3室2厅;139;河畔家苑，好楼层，新出好房，降价房源;20160830
146;长清路643弄,长清路693弄,长清路7;浦东 三林;南杨小区（长清路）;;高层/6层;3386349;3800;1室1厅;41;南杨小区，1室1厅1卫，视野开阔，刚刚降价;20160830
147;斜土路1458弄,日晖六村;徐汇 斜土路;日晖六村;北;低层/5层;3385871;4500;1室0厅;29;日晖六村，抢鲜笋盘，上门实拍，业主降价;20160831
148;华绣路18弄,北艾路1500弄,北艾路1;浦东 北蔡;大华锦绣华城（二街区）;南;高层/17层;3385218;6300;2室2厅;76;新鲜挂牌，链家房源，毗邻地铁，有钥匙立即看;20160830
149;管弄路30弄,管弄路120弄,管弄路22;普陀 光新;管弄一二街坊;暂无数据;低层/6层;3384450;5500;2室1厅;53;一链倾城，上门实拍，业主刚降价，随时可看;20160829
150;天山西路199弄;长宁 北新泾;天山西路199弄;南北;高层/7层;3383291;3500;1室0厅;100;随时可看，有爱有家，交通便利，高清实拍;20160829
151;丰谷路260弄,丰谷路300弄;徐汇 龙华;丰三小区;南;中层/6层;3383084;4200;1室1厅;42;丰三小区，随时可看，1室1厅，有爱有家;20160829
152;御水路150弄;浦东 御桥;万科金色城市;南;低层/18层;3380730;6500;3室2厅;89;错过不再有，低区出入方便，交通方便，新鲜上架;20160828
153;清涧路68弄;普陀 真光;中鼎豪园;南北;中层/14层;3377146;7500;3室1厅;135;如您所见，近地铁，光线充足，新鲜上架;20160826
154;唐镇路127弄;浦东 唐镇;唐人苑;南北;中层/6层;3374362;5500;2室1厅;58;放心好房，上门实拍，房型正气，业主新委托;20160825
155;临汾路894弄,临汾路850弄,汾西路8;闸北 彭浦;康平小区;暂无数据;高层/6层;3373370;3200;1室1厅;32;康平小区，放心好房，视野很好，高清实拍;20160825
156;西营南路17弄,西营南路67弄;浦东 三林;恒大华城天地苑;南北;中层/6层;3354715;6000;2室2厅;88;恒大华城天地苑，上门实勘，业主降价，新上房源;20160816
157;南码头路1136弄, 南码头路1186弄;浦东 世博;齐二小区;南;高层/6层;3323149;4300;1室1厅;40;上门实拍，来电即看，1室1厅1卫，出行方便;20160802
158;淮海西路288弄;长宁 新华路;淮海花园;南北;低层/26层;3315907;13000;3室2厅;148;舒适三室，稀罕南北通，火热出租，低区出入方便;20160729
159;零陵路789弄;徐汇 徐家汇;创世纪花园;南北;高层/15层;3321282;12000;3室2厅;124;创世纪花园，3房出租，业主刚降价，上门实拍;20160801
160;龙阳路1880弄;浦东 北蔡;万邦都市花园;南北;低层/15层;3311359;3500;4室2厅;108;上门实勘，低楼层，链家好房，有钥匙房源;20160731
161;辽源四村;杨浦 鞍山;辽源四村;南;中层/5层;3300333;3300;1室0厅;31;辽源四村，地铁直达，抢手火热，1室0厅1卫;20160722
162;西藏南路1090弄;黄浦 蓬莱公园;银南大厦;南;高层/23层;3287599;6200;2室0厅;44;银南大厦，降价房源，两室户，错过不再有;20160716
163;桃林路1141弄;浦东 源深;新天家园;南;高层/18层;2946108;9600;3室2厅;104;如您所见，闹中取静，地铁直达，业主降价出租;20160702
164;漕宝路1467弄;闵行 静安新城;静安新城（四区）;南;低层/7层;2929276;6500;3室1厅;81;静安新城，热推好房，有爱有家，出行方便;20160701
165;博山东路811弄;浦东 金杨;东方知音苑;南北;中层/7层;1009970;8000;3室2厅;114;好房好心情，上门实勘，近地铁，看房方便;20160507
166;晨晖路825弄;浦东 张江;张江汤臣豪园（二期）;南;高层/7层;3359899;8200;2室2厅;76;2室2厅2卫，业主降价，远离雾霾带，地铁房;20160818
